category,name,price,product_number,subcategory,subtitle
Гейминг периферия,"
D-Link DUB-1340
",100.33,D-LINK-DUB-1340-E,USB хъбове,"USB хъб D-Link DUB-1340/E със захранване, USB 3.0, Черен"
Гейминг периферия,"
Hama USB-C Hub, Multiport
",120.61,HAMA-200111,USB хъбове,"8-портов хъб HAMA USB-C, 3 x USB-A, 2 x USB-C, VGA, HDMI, LAN"
Гейминг периферия,"
uRage Reaper neo
",21.84,HAMA-186033,Геймърски мишки,"Геймърска мишка Hama uRage Reaper neo, Оптична, USB"
Гейминг периферия,"
Logitech G413 TKL SE
",139.0,LOGITECH-KEY-G413-SE-TKL,Геймърски клавиатури,"Геймърска механична клавиатура Logitech G413 SE TKL, Tactile суичове"
Гейминг периферия,"
Bloody B930 TKL
",139.0,A4-KEY-B930-BG-US,Геймърски клавиатури,"Геймърска механична клавиатура Bloody B930 TKL, RGB LED, USB, Черен"
Гейминг периферия,"
ASUS TUF Gaming K1
",139.0,ASUS-KEY-TUF-GAMING-K1,Геймърски клавиатури,Геймърска клавиатура ASUS TUF Gaming K1 RGB Aura Sync
Гейминг периферия,"
Logitech G213
",129.0,LOGITECH-KEY-G213-US,Геймърски клавиатури,Геймърска клавиатура Logitech G213 Prodigy
Гейминг хардуер,"
Fasgear USB-C - USB-A
",95.14,OCULUS-CABLE-B087RC4VD5,Виртуална реалност,"Кабел Fasgear USB-C - USB-A, USB 3.0, 5m за Oculus Quest"
Гейминг периферия,"
Spartan Gear Pegasus
",118.99,SG-071503,Геймърски клавиатури,"Механична Геймърскa клавиатура Spartan Gear Pegasus, Xinda Blue, Черна"
Гейминг периферия,"
Bloody B3370R
",99.04,A4-KEY-B3370R,Геймърски клавиатури,"Геймърска механична клавиатура A4tech Bloody B3370R, 8 LK клавиша, Черен"
Гейминг периферия,"
Spartan Gear Pegasus
",118.99,SG-071504,Геймърски клавиатури,"Механична Геймърскa клавиатура Spartan Gear Pegasus, Xinda Blue, Бяла"
Гейминг периферия,"
Xtrfy K3 RGB
",98.08,XTRFY-KEY-1061,Геймърски клавиатури,"Геймърскa полу-механична клавиатура Xtrfy K3 RGB, US Layout"
Гейминг периферия,"
SteelSeries Apex 3 TKL
",109.0,STEEL-KEY-64831,Геймърски клавиатури,Геймърскa клавиатура SteelSeries Apex 3 TKL Quiet Switch
Гейминг периферия,"
uRage Exodus 800
",99.0,HAMA-186057,Геймърски клавиатури,"Геймърска механична клавиатура Hama, uRage Exodus 800, Blue switch"
Гейминг периферия,"
Spartan Gear Cyclops 2
",99.0,SG-054144,Геймърски клавиатури,"Механична Геймърскa клавиатура Spartan Gear Cyclops 2, Outemu"
Гейминг периферия,"
Bloody B314
",69.0,A4-KEY-B314-BG-US,Геймърски клавиатури,"Геймърска клавиатура Bloody B314, Infrared-Micro Swich, Кирилизирана"
Гейминг периферия,"
Cooler Master Devastator 3
",79.0,CM-KEY-DEVASTATOR-3,Геймърски клавиатури,Геймърски комплект мишка с клавиатура Cooler Master Devastator 3
Гейминг периферия,"
Bloody B2500
",77.15,A4-KEY-B2500,Геймърски клавиатури,"Геймърска клавиатура и мишка A4tech Bloody Illuminate B2500, Подсветка, B150N+N81, Черен"
Гейминг периферия,"
Spartan Gear Lochos
",58.99,SG-054145,Геймърски клавиатури,"Механична Геймърскa клавиатура Spartan Gear Lochos, Xinda Blue"
Гейминг периферия,"
uRage Exodus 700
",69.0,HAMA-186011,Геймърски клавиатури,Геймърска полу-механична клавиатура uRage Exodus 700
Гейминг периферия,"
Bloody B2418
",50.99,A4-KEY-B2418,Геймърски клавиатури,Геймърска полу-механична клавиатура Bloody B2418
Гейминг периферия,"
Bloody Q135
",43.2,A4-KEY-Q135,Геймърски клавиатури,"Геймърска клавиатура A4tech Bloody Q135, Подсветка, Черна"
Гейминг периферия,"
uRage Exodus 450 Metal
",49.0,HAMA-186070,Геймърски клавиатури,"Геймърска клавиатура Hama, uRage Exodus 450 Metal"
Гейминг периферия,"
Spartan Gear Centaur
",39.0,SG-045169,Геймърски клавиатури,Геймърскa клавиатура Spartan Gear Centaur
Гейминг периферия,"
uRage Exodus 300 Illuminated
",49.0,HAMA-186040,Геймърски клавиатури,"Геймърска клавиатура HAMA uRage ""Exodus 300 Illuminated"", Черен"
Гейминг периферия,"
Bloody Q100
",31.42,A4-KEY-Q100,Геймърски клавиатури,Геймърска клавиатура Bloody Blazing Q100
Гейминг периферия,"
uRage Exodus 220 TKL
",39.0,HAMA-186060,Геймърски клавиатури,Геймърска клавиатура Hama uRage Exodus 220 TKL
Гейминг периферия,"
uRage Exodus 210 Illuminated
",35.54,HAMA-186042,Геймърски клавиатури,"Геймърска клавиатура HAMA uRage ""Exodus 210 Illuminated"", Кирилизирана, Черна"
Гейминг периферия,"
Plantronics RIG 300HS
",50.02,PLANT-HEAD-211836-05,Геймърски слушалки,Геймърски слушалки Plantronics RIG 300HS
Гейминг периферия,"
Spartan Gear Medusa
",49.0,SG-069486,Геймърски слушалки,"Геймърски слушалки Spartan Gear Medusa, Микрофон, Бял"
Гейминг периферия,"
Plantronics RIG 300
",50.02,PLANT-HEAD-211834-05,Геймърски слушалки,Геймърски слушалки Plantronics RIG 300
Гейминг периферия,"
Spartan Gear Medusa
",49.0,SG-069485,Геймърски слушалки,"Геймърски слушалки Spartan Gear Medusa, Микрофон, Бял/Черен"
Гейминг периферия,"
Spartan Gear Medusa
",49.0,SG-069484,Геймърски слушалки,"Геймърски слушалки Spartan Gear Medusa, Микрофон, Черен"
Гейминг периферия,"
Bloody G521
",49.0,A4-HEAD-G521,Геймърски слушалки,"Геймърски слушалки A4TECH Bloody G521, Virtual 7.1, Omni-Directional микрофон, Черно/Червено"
Гейминг периферия,"
Nacon Bigben Stereo Gaming Headset V1
",49.0,NC-MULTIHEADSETV1CAMO,Геймърски слушалки,"Геймърски слушалки Nacon Bigben Stereo Gaming Headset V1, Микрофон, Камуфлажно зелено"
Гейминг периферия,"
uRage SoundZ 320 7.1
",49.0,HAMA-186063,Геймърски слушалки,"Геймърски слушалки Hama uRage Soundz 320 7.1, Микрофон, USB, Черен"
Гейминг периферия,"
Bloody G300
",45.52,A4-HEAD-G300,Геймърски слушалки,"Геймърски слушалки A4TECH, Bloody G300"
Гейминг периферия,"
Bloody G350
",41.23,A4-HEAD-G350,Геймърски слушалки,"Геймърски слушалки A4TECH Bloody G350, Virtual 7.1, Микрофон, Черно/Червено"
Гейминг периферия,"
Spartan Gear Myrmidon II
",49.0,SG-054146,Геймърски слушалки,"Геймърски слушалки Spartan Gear Myrmidon II, Микрофон, Черен/Червен"
Гейминг периферия,"
Bloody G300
",39.04,A4-HEAD-G300-WHITE,Геймърски слушалки,"Геймърски слушалки A4TECH, Bloody G300, Микрофон, Бял"
Гейминг периферия,"
uRage ""SoundZ 200""
",39.8,HAMA-186008,Геймърски слушалки,"Геймърски слушалки Hama uRage Soundz 200, Микрофон, USB, Черен"
Гейминг периферия,"
Bigben Nintendo Switch Headset V1
",39.0,NC-SWITCHHEASETV1,Геймърски слушалки,"Геймърски слушалки Nacon Bigben Nintendo Switch Headset V1, Микрофон, Черен/Червен"
Гейминг периферия,"
Bigben Nintendo Switch Headset V1
",39.0,NC-SWITCHHEASETV1RB,Геймърски слушалки,"Геймърски слушалки Nacon Bigben Nintendo Switch Headset V1, Микрофон, Червен/Син"
Гейминг периферия,"
HyperX Cloud Chat PS5
",39.0,HX-HEAD-CCPS5-BK,Геймърски слушалки,Геймърски слушалки HyperX Cloud Chat PS5
Гейминг периферия,"
Nacon Bigben PS5 Official Headset V1
",39.0,NC-PS5HEADSETV1,Геймърски слушалки,"Геймърски слушалки Nacon Bigben PS5 Official Headset V1 Black, Микрофон, Черен"
Гейминг периферия,"
Bloody G220S
",39.0,A4-HEAD-G220S,Геймърски слушалки,"Геймърски слушалки A4TECH Bloody G220S, Микрофон, Черно/Червено"
Гейминг периферия,"
Nacon Bigben PS5 Official Headset V1
",39.0,NC-PS5HEADSETV1WHITE,Геймърски слушалки,"Геймърски слушалки Nacon Bigben PS5 Official Headset V1 White, Микрофон, Бял"
Гейминг периферия,"
Spartan Gear Thorax
",39.0,SG-054147,Геймърски слушалки,"Геймърски слушалки Spartan Gear Thorax, Микрофон, Черен/Червен"
Гейминг периферия,"
Nacon Bigben XBox X Official Headset V1
",39.0,NC-XBXHEADSETV1,Геймърски слушалки,"Геймърски слушалки Nacon Bigben XBox X Official Headset V1 Black, Микрофон, Черен"
Гейминг периферия,"
Bigben PS4 Headset
",35.0,NC-PS4GAMINGHEADSET,Геймърски слушалки,"Геймърски слушалки Nacon Bigben PS4 Headset, Микрофон, Черен"
Гейминг периферия,"
Nacon Communicator Gaming Headset
",34.8,NC-PS4OFCOMMUNICATOR,Геймърски слушалки,"Геймърски слушалки Nacon Bigben PS4 Official Communicator, Микрофон, Черен"
Гейминг периферия,"
uRage ""SoundZ 100""
",31.68,HAMA-186007,Геймърски слушалки,"Геймърски слушалки Hama uRage Soundz 100, Микрофон, 3.5мм жак, Черен"
